Termo Principal;Possíveis Duplicatas;Total Variações;Frequência Somada
Astronomia - estudo e ensino;Astronomia (100%) | Astronomia - estudo e ensino (100%) | Ensino (100%) | Estudo (100%) | Estudo e ensino (100%) | Gastronomia - estudo e ensino (98%) | Arte - estudo e ensino (87%) | História - estudo e ensino (85%) | Ótica - estudo e ensino (85%) | Piano - estudo e ensino (85%) | Saúde - estudo e ensino (85%) | Teatro - estudo e ensino (85%) | Agronomia - estudo e ensino - Brasil (84%) | Cinema - estudo e ensino (83%) | Física - ensino e estudo (83%) | Física - estudo e  ensino (83%) | Física - estudo e ensino (83%) | Óptica - estudo e ensino (83%) | Arquivologia - estudo e ensino (83%) | Matemática - estudo e ensino (82%) | Museologia - estudo e ensino (82%) | Psicologia - estudo e ensino (82%) | Sociologia  - estudo e ensino (82%) | Sociologia - estudo e ensino (82%) | Biblioteconomia - estudo e ensino (82%) | Biologia - estudo e ensino (81%) | Botânica - estudo e ensino (81%) | Ecologia - estudo e ensino (81%) | Geologia - estudo e ensino (81%) | Nutrição - estudo e ensino (81%);30;477
Arquitetura - estudo e ensino;Arquitetura (100%) | Arquitetura - estudo e ensino (100%) | Arquitetura e urbanismo - estudo e ensino (100%) | Ensino (100%) | Estudo (100%) | Estudo e ensino (100%) | Arquitetura - métodos de ensino (90%) | Arquitetura 5G (88%) | Literatura - estudo e ensino (88%) | Arte - estudo e ensino (87%) | Cultura - estudo e ensino (85%) | Ótica - estudo e ensino (85%) | Piano - estudo e ensino (85%) | Saúde - estudo e ensino (85%) | Estruturas - estudo e ensino (84%) | Arte e arquitetura (84%) | Teatro - estudo e ensino (83%) | Cinema - estudo e ensino (83%) | Física - ensino e estudo (83%) | Física - estudo e  ensino (83%) | Física - estudo e ensino (83%) | Óptica - estudo e ensino (83%) | Ensino superior - arquitetura (83%) | Química - estudo e ensino (81%) | Arquivologia - estudo e ensino (81%) | Arquitetura e clima (81%) | Braille - estudo e ensino (81%) | Ciência - estudo e ensino (81%) | Direito - estudo e ensino (81%) | Teclado - estudo e ensino (81%);30;450
Enfermagem - estudo e ensino;Enfermagem (100%) | Enfermagem - estudo e ensino (100%) | Enfermagem - estudo e ensino - Brasil (100%) | Ensino (100%) | Estudo (100%) | Estudo e ensino (100%) | Arte - estudo e ensino (87%) | Ótica - estudo e ensino (85%) | Piano - estudo e ensino (85%) | Saúde - estudo e ensino (85%) | Cinema - estudo e ensino (85%) | Física - ensino e estudo (83%) | Física - estudo e  ensino (83%) | Física - estudo e ensino (83%) | Óptica - estudo e ensino (83%) | Teatro - estudo e ensino (83%) | Ensino técnico - enfermagem (83%) | Engenharia - estudo e ensino (82%) | Ensino superior - enfermagem (82%) | Genética - estudo e ensino (81%) | Paisagem - estudo e ensino (81%) | Braille - estudo e ensino (81%) | Ciência - estudo e ensino (81%) | Cultura - estudo e ensino (81%) | Direito - estudo e ensino (81%) | Química - estudo e ensino (81%) | Teclado - estudo e ensino (81%) | Turismo - estudo e ensino (81%) | Informática - estudo e ensino (81%) | Enfermagem - ética (80%);30;458
Água - qualidade;Água (100%) | Água - qualidade (100%) | Água - qualidade - Paranoá, Lago (DF) (100%) | Controle de qualidade - água (100%) | Qualidade (100%) | Rio das Antas (GO) - qualidade da água (100%) | Controle de qualidade da água (93%) | Qualidade da água (93%) | Ar - qualidade (88%) | Grãos - qualidade (85%) | Mudas - qualidade (85%) | Frutas - qualidade (82%) | Águas subterrâneas - qualidade - Distrito Federal (Brasil) (81%) | Alimentos - indústria - controle de qualidade (81%) | Alimentos - qualidade (81%) | Alimentos - qualidade - Distrito Federal (Brasil) (81%) | Arquitetura - qualidade (81%) | Artrite reumatóide - pacientes - qualidade de vida (81%) | Assistência à saúde - qualidade (81%) | Auditoria - qualidade (81%) | Biodiesel - qualidade (81%) | Briquetes (Combustível) - qualidade (81%) | Câncer - pacientes - qualidade de vida (81%) | Cápsulas (Farmácia) - controle de qualidade (81%) | Carne - Brasília (DF) - qualidade (81%) | Carne - qualidade (81%) | Carne bovina - qualidade (81%) | Carne de ave - qualidade (81%) | Carne de aves - qualidade (81%) | Carne de frango - qualidade (81%);30;232
Arquitetura - Brasil - história;Arquitetura (100%) | Arquitetura - Brasil (100%) | Arquitetura - Brasil - história (100%) | Arquitetura - história (100%) | Brasil (100%) | Brasil - história (100%) | História (100%) | História - Brasil (100%) | Arquitetura e história (95%) | História da Arquitetura (93%) | Arquitetura - história - Brasília (DF) (89%) | Arquitetura 5G (88%) | Arquitetura de habitação - ferrovias - história (86%) | Arquitetura e urbanismo - história (86%) | Universidade de Brasília. Faculdade de Arquitetura e Urbanismo - história (86%) | Arquitetura moderna - Brasil (84%) | História na literatura - Brasil (83%) | Irã - história (83%) | Índios - Brasil - história (83%) | Arquitetura colonial - Brasil (83%) | Arquitetura de habitação - Brasil (82%) | Teoria e História da Arquitetura (82%) | Arquivologia - história - Brasil (81%) | Direito - história - Brasil (81%) | História militar - Brasil (81%) | Arte - história (80%) | Cuba - história (80%) | Moda - história (80%) | Nutrição - história - Brasil (80%) | Rios - história (80%);30;471
Água - propriedades;Água (100%) | Água - propriedades (100%) | Áudio - propriedades (87%) | Acústica - propriedades (86%) | Aço - estruturas - propriedades mecânicas (85%) | Alcasite (Odontologia) - propriedades (85%) | Cimentos dentários - propriedades mecânicas (85%) | Cimentos dentários - propriedades ópticas (85%) | Concreto - propriedades mecânicas (85%) | Concreto armado - propriedades mecânicas (85%) | Estanho - propriedades magnéticas (85%) | Gelação - matéria - propriedades (85%) | Grãos de quinoa e amaranto - propriedades físicas (85%) | Hematita - propriedades estruturais (85%) | Hematita - propriedades magnéticas (85%) | Hematita - propriedades ópticas (85%) | Homeopatia - propriedades (85%) | Madeira - pesquisa - propriedades mecânicas (85%) | Madeira - propriedades físicas (85%) | Madeira - propriedades mecânicas (85%) | Madeira - propriedades térmicas (85%) | Matéria - propriedades (85%) | Metais - propriedades eletrônicas (85%) | Metais - propriedades mecânicas (85%) | Metais - propriedades ópticas (85%) | Nanopartículas - propriedades magnéticas (85%) | Nanotubos de carbono - propriedades mecânicas (85%) | Ossos - propriedades mecânicas (85%) | Poliestireno - propriedades (85%) | Rochas - propriedades físicas (85%);30;121
Arquitetura - Brasília (DF);Arquitetura (100%) | Arquitetura - Brasília (DF) (100%) | Arquitetura - composição, proporção, etc - Brasília (DF) (100%) | Arquitetura - estética - Brasília (DF) (100%) | Arquitetura - história - Brasília (DF) (100%) | Arquitetura - projetos e plantas - Brasília (DF) (100%) | Arquitetura de habitação - Brasília (DF) (100%) | Arquitetura e clima - Brasília (DF) (100%) | Arquitetura e sociedade - Brasília (DF) (100%) | Arquitetura moderna - Brasília (DF) (100%) | Arquitetura paisagística - Brasília (DF) (100%) | Arquitetura pública - Brasília (DF) (100%) | Arquitetura religiosa - Brasília (DF) (100%) | Brasília (DF) (100%) | Brasília (DF) - arquitetura (100%) | Brasília (DF) - arquitetura moderna (100%) | Igrejas urbanas - arquitetura - Brasília (DF) (100%) | Monumentos - arquitetura -  Brasília (DF) (100%) | Monumentos - arquitetura - Brasília (DF) (100%) | Arquitetas - Brasília (DF) (94%) | Arquitetos - Brasília (DF) (91%) | Arquitetura - Universidade de Brasília (90%) | Arquitetura 5G (88%) | Brasília - DF (87%) | Literatura - Brasília (DF) (87%) | Arte - Brasília (DF) (86%) | Brasília (DF) - arte (86%) | Espaço (Arquitetura) - Brasília (DF) (86%) | Rock - Brasília (DF) (86%) | Arquitetura - Brasil (85%);30;407
Arquitetura - Distrito Federal (Brasil);Arquitetura (100%) | Arquitetura - Distrito Federal (Brasil) (100%) | Distrito Federal (Brasil) (100%) | Cão - Distrito Federal (Brasil) (93%) | Aves - Distrito Federal (Brasil) (92%) | Soja - Distrito Federal (Brasil) (92%) | Distrito Federal (Brasil) - flora (90%) | Metrô - Distrito Federal (Brasil) (90%) | Saúde - Distrito Federal (Brasil) (90%) | Solos - Distrito Federal (Brasil) (90%) | Agricultura - Distrito Federal (Brasil) (90%) | Arte urbana - Distrito Federal (Brasil) (90%) | Distrito Federal (Brasil) - agricultura (90%) | Cultura - Distrito Federal (Brasil) (89%) | Distrito Federal (Brasil) - cultura (89%) | Dengue - Distrito Federal (Brasil) (89%) | Idosos - Distrito Federal (Brasil) (89%) | Jovens - Distrito Federal (Brasil) (89%) | Teatro - Distrito Federal (Brasil) (89%) | Tomate - Distrito Federal (Brasil) (89%) | Arquitetura 5G (88%) | Gutífera - Distrito Federal (Brasil) (88%) | Temperatura - Distrito Federal (Brasil) (87%) | Creches - Distrito Federal (Brasil) (87%) | Emprego - Distrito Federal (Brasil) (87%) | Escolas - Distrito Federal (Brasil) (87%) | Esgotos - Distrito Federal (Brasil) (87%) | Família - Distrito Federal (Brasil) (87%) | Favelas - Distrito Federal (Brasil) (87%) | Plantas - Distrito Federal (Brasil) (87%);30;445
Água - distribuição;Água (100%) | Água - distribuição (100%) | Distribuição (100%) | Redes de distribuição de água (94%) | Abelha - distribuição das espécies (85%) | Alimentos - distribuição (85%) | Amazônia - energia elétrica - distribuição (85%) | Aves - distribuição espacial (85%) | Democracia - distribuição de renda e riqueza (85%) | Energia elétrica - distribuição (85%) | Energia elétrica - distribuição - avaliação (85%) | Energia elétrica - distribuição - Brasil (85%) | Engenharia elétrica - distribuição (85%) | Equipamentos médicos - distribuição (85%) | Espécies - distribuição (85%) | Índia - Sistema Público de Distribuição de Alimentos (85%) | Mamífero - distribuição geográfica (85%) | Mamífero - Pantanal Mato-grossense - distribuição geográfica (85%) | Medicamentos - distribuição (85%) | Molares - primeiro molar superior - distribuição de tensões (85%) | Morcegos - distribuição geográfica (85%) | Mosca - distribuição geográfica (85%) | Nutrientes - distribuição (85%) | Renda - Brasil - distribuição (85%) | Renda - distribuição (85%) | Renda - distribuição - aspectos ambientais (85%) | Renda - distribuição - Brasil (85%) | Sistema de distribuição - Brasília (85%) | Tensão - distribuição (85%) | Distribuição beta (83%);30;215
Água - conservação;Água (100%) | Água - conservação (100%) | Água - conservação - Distrito Federal (Brasil) (100%) | Conservação (100%) | Grão - conservação (89%) | Baleia - conservação (84%) | Frutas - conservação (84%) | Alimentos - conservação (84%) | Amazonas - unidade de conservação (84%) | Arquitetura - conservação de energia (84%) | Arquitetura - conservação e restauração (84%) | Arquitetura moderna - conservação (84%) | Artes - conservação (84%) | Aves - conservação (84%) | Biodiversidade - conservação - aspectos jurídicos (84%) | Canídeos - conservação - Distrito Federal (Brasil) (84%) | Cerrados - conservação (84%) | Conservação da natureza - Amazonas (AM) (84%) | Conservação da natureza - Distrito Federal (Brasil) (84%) | Conservação da natureza - Felídeo (84%) | Conservação da natureza - Fernando de Noronha, Arquipélago (PE) (84%) | Conservação florestal - França (84%) | Cultivo de plantas - conservação (84%) | Diversidade biológica - conservação (84%) | Edifícios - conservação (84%) | Edifícios - conservação e restauração (84%) | Edifícios históricos - conservação e restauração (84%) | Energia - conservação (84%) | Energia elétrica - conservação (84%) | Engenharia florestal - vida selvagem - conservação (84%);30;233
