Termo Sugerido (Mais Comum);Variações Detectadas (Duplicatas);Qtd Variações;Frequência Total
Dor - aspectos psicológicos;Dor - aspectos psicológico [Score: 98] | Morte - aspectos psicológicos [Score: 93] | Idosos - aspectos psicológicos [Score: 91] | Médico - aspectos psicológicos [Score: 91] | Atores - aspectos psicológicos [Score: 91] | Adoção - aspectos psicológicos [Score: 91] | Luto - aspectos psicológicos [Score: 91] | Arte - aspectos psicológicos [Score: 91] | Doenças - aspectos psicológicos [Score: 90] | Doentes - aspectos psicológicos [Score: 90] | Morfina - aspectos psicológicos [Score: 90] | Tempo - aspectos psicológicos [Score: 89] | Jogos - aspectos psicológicos [Score: 89] | Homem - aspectos psicológicos [Score: 89] | Cuidadores - aspectos psicológicos [Score: 89] | Esportes - aspectos psicológicos [Score: 88];16;61
Biologia - estudo e ensino;Embriologia - estudo e ensino [Score: 95] | Sociologia - estudo e ensino [Score: 93] | Psicologia - estudo e ensino [Score: 93] | Ecologia - estudo e ensino [Score: 92] | Zoologia - estudo e ensino [Score: 92] | Geologia - estudo e ensino [Score: 92] | Sociologia  - estudo e ensino [Score: 91] | Arquivologia - estudo e ensino [Score: 89] | Museologia - estudo e ensino [Score: 89] | Bioética - estudo e ensino [Score: 88];10;111
Metrô - Distrito Federal (Brasil);Mulheres - Distrito Federal (Brasil) [Score: 90] | Mamífero - Distrito Federal (Brasil) [Score: 90] | Tomate - Distrito Federal (Brasil) [Score: 90] | Temperatura - Distrito Federal (Brasil) [Score: 89] | Bombeiros - Distrito Federal (Brasil) [Score: 89] | Esgotos - Distrito Federal (Brasil) [Score: 88] | Cultura - Distrito Federal (Brasil) [Score: 88] | Emprego - Distrito Federal (Brasil) [Score: 88];8;32
Relações internacionais - Brasil - África;Relações internacionais - Brasil - Rússia [Score: 93] | Relações internacionais - Brasil - África do Sul [Score: 92] | Relações internacionais - Brasil - Europa [Score: 90] | Relações internacionais - Brasil - Argentina [Score: 89] | Relações internacionais - Brasil - Bolívia [Score: 89] | Relações internacionais - Brasil - Uruguai [Score: 89] | Relações internacionais - Brasil - Portugal [Score: 88] | Relações internacionais - Brasil - Paraguai [Score: 88];8;17
Ontologia;Otologia [Score: 94] | Odontologia [Score: 90] | Deontologia [Score: 90] | Ornitologia [Score: 90] | Oncologia [Score: 89] | Fonologia [Score: 89] | Antologia [Score: 89];7;177
Brasil - política e governo - 1889-1930;Brasil - política e governo - 1930-1934 [Score: 92] | Brasil - política e governo - 1956-1961 [Score: 90] | Brasil - política e governo - 1964-1985 [Score: 90] | Brasil - política e governo - 1989-2002 [Score: 90] | Brasil - política e governo - 1954-1964 [Score: 90] | Brasil - política e governo - 1950-1959 [Score: 90];6;11
Climatologia - Distrito Federal (Brasil);Antropologia - Distrito Federal (Brasil) [Score: 90] | Hidrologia - Distrito Federal (Brasil) [Score: 90] | Odontologia - Distrito Federal (Brasil) [Score: 89] | Cartografia - Distrito Federal (Brasil) [Score: 89] | Metalogenia - Distrito Federal (Brasil) [Score: 89] | Ciclovias - Distrito Federal (Brasil) [Score: 88];6;18
Cerrados - Distrito Federal (Brasil);Aves - Cerrados - Distrito Federal (Brasil) [Score: 91] | Terreiros - Distrito Federal (Brasil) [Score: 90] | Educadores - Distrito Federal (Brasil) [Score: 89] | Idosos - Distrito Federal (Brasil) [Score: 89] | Teatro - Distrito Federal (Brasil) [Score: 89] | Aves - Distrito Federal (Brasil) [Score: 88];6;39
Política educacional - Distrito Federal (Brasil);Política e educação - Distrito Federal (Brasil) [Score: 91] | Política urbana - Distrito Federal (Brasil) [Score: 90] | Política social - Distrito Federal (Brasil) [Score: 90] | Pesquisa educacional - Distrito Federal (Brasil) [Score: 90] | Política ambiental - Distrito Federal (Brasil) [Score: 89];5;25
Literatura brasileira - crítica, interpretação, etc;Literatura grega - crítica, interpretação, etc [Score: 91] | Literatura alemã - crítica, interpretação, etc [Score: 91] | Literatura italiana - crítica, interpretação, etc [Score: 90] | Literatura irlandesa - crítica, interpretação, etc [Score: 89] | Literatura angolana - crítica, interpretação, etc [Score: 88];5;82
Sistemas elípticos;Sistema elíptico [Score: 94] | Sistemas políticos [Score: 89] | Sistemas ópticos [Score: 88] | Sistemas eólicos [Score: 88] | Sistemas lóticos [Score: 88];5;16
Pessoas com deficiência visual - educação;Pessoas com deficiência - educação [Score: 91] | Pessoas com deficiência mental - educação [Score: 90] | Pessoas com deficiência intelectual - educação [Score: 90] | Pessoas com deficiência auditiva - educação [Score: 88];4;23
Dengue - Distrito Federal (Brasil);Juventude - Distrito Federal (Brasil) [Score: 90] | Saúde - Distrito Federal (Brasil) [Score: 90] | Gutífera - Distrito Federal (Brasil) [Score: 89] | Jovens - Distrito Federal (Brasil) [Score: 88];4;17
Desenvolvimento;Desenvolvimentismo [Score: 91] | Subdesenvolvimento [Score: 91] | Pós-desenvolvimento [Score: 88] | Etnodesenvolvimento [Score: 88];4;77
