dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
360EAVP : the edition-aware 360-degree video player,"Araújo, Gabriel de Castro",2023-07-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48379,,,Acesso Aberto,Realidade virtual||Streaming||Processamento de vídeos,Dissertação
Uma abordagem distribuída para o SLAM visual,"Porto, Letícia Helena Silva",2019-12-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38261,,,Acesso Aberto,SLAM visual||Robótica móvel||ORB-SLAM||SLAM distribuído,Dissertação
Uma abordagem metodológica para prospecção ativa de vulnerabilidades,"Gondim, João José Costa",2017-07-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/31125,,,Acesso Aberto,Metodologia||Prospecção - vulnerabilidade||Sistemas computacionais,Dissertação
Adaptive case managment in practice,"Kress, Juergen Marcus",2016-07-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22409,http://dx.doi.org/10.26512/2016.07.D.22409,Acesso Aberto,,Engenharia de software||Software engineering,Dissertação
Adaptive Kalman based forecasting for electric load and distributed generation,"Ribeiro, Lucas Dantas Xavier",2017-04-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24038,http://dx.doi.org/10.26512/2017.04.D.24038,,Acesso Aberto,"Kalman, filtragem de||Geração distribuída de energia elétrica||Sistemas elétricos",Dissertação
Adaptive Kalman filtering for small satellite attitude estimation,"Mello, Bruno Tunes de",2023-11-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48358,,,Acesso Aberto,Pequenos satélites||Filtro de Kalman||Fusão sensorial,Dissertação
Advancing fairness and differential privacy in machine learning for socially relevant applications,"Pereira, Mayana Wanderley",2024-04-26,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50927,,,Acesso Aberto,Aprendizagem de máquina||Inteligência artificial||Mídia||Violência sexual infantil,Tese
Agrupamento de documentos forenses utilizando redes neurais art1,"Araújo, Georger Rommel Ferreira de",2011-10-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11123,,Acesso Aberto,,Informática forense||Redes neurais (Computação),Dissertação
Agrupamento de malware por comportamento de execução usando lógica fuzzy,"Leite, Lindeberg Pessoa",2016-12-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23118,http://dx.doi.org/10.26512/2016.12.D.23118,Acesso Aberto,,Malwares - detecção||Aprendizado do computador||Lógica Fuzzy,Dissertação
Ajuste ótimo da potência inserida por unidades de geração distribuída em alimentadores de média tensão,"Mendonça, Kenneth Roosevelt Sampaio",2006-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3792,http://dx.doi.org/10.26512/2006.05.D.3792,Acesso Aberto,,Sistemas de energia elétrica||Energia elétrica - distribuição,Dissertação
