Autor,Frequencia,Offset,Timestamp_Coleta
"Aalborg, Petar Popovski",1,0,2025-12-30T17:19:32.857497
"Abad, Maristela",1,0,2025-12-30T17:19:32.857497
"Abada, Christian Chukwuemeka",1,0,2025-12-30T17:19:32.857497
"Abade, André",1,0,2025-12-30T17:19:32.857497
"Abade, André da Silva",1,0,2025-12-30T17:19:32.857497
"Abade, Maíra Coelho",1,0,2025-12-30T17:19:32.857497
"Abade, Natanael Antunes",2,0,2025-12-30T17:19:32.857497
"Abadia, Ana Clara",1,0,2025-12-30T17:19:32.857497
"Abadia, Manuel Rodrigo Urbano",1,0,2025-12-30T17:19:32.857497
"Abadio, Ana Karina Rodrigues",3,0,2025-12-30T17:19:32.857497
"Abanto Ramos, Ivette Alejandra",1,0,2025-12-30T17:19:32.857497
"Abarca Alarcon, Maria Alejandra Claudia",1,0,2025-12-30T17:19:32.857497
"Abati, Flávia Rech",1,0,2025-12-30T17:19:32.857497
"Abbad, Gardênia da Silva",47,0,2025-12-30T17:19:32.857497
"Abbas, Claudia Jacy Barenco",1,0,2025-12-30T17:19:32.857497
"Abbehausen, Kaue Hermann",1,0,2025-12-30T17:19:32.857497
"Abdala, Bianca Ardanuy",1,0,2025-12-30T17:19:32.857497
"Abdala, Fábio de Andrade",1,0,2025-12-30T17:19:32.857497
"Abdala, Ingrid Gomes",2,0,2025-12-30T17:19:32.857497
"Abdalla Filho, Adibe Luiz",1,0,2025-12-30T17:19:32.857497
"Abdalla Filho, Elias",4,0,2025-12-30T17:19:32.857497
"Abdalla Júnior, Humberto",10,0,2025-12-30T17:19:32.857497
"Abdalla, Adibe Luiz",8,0,2025-12-30T17:19:32.857497
"Abdalla, Douglas Reis",1,0,2025-12-30T17:19:32.857497
"Abdalla, Dulcineia Saes Parra",3,0,2025-12-30T17:19:32.857497
"Abdalla, Lídia Freire",1,0,2025-12-30T17:19:32.857497
"Abdalla, Stefanie de Castro",1,0,2025-12-30T17:19:32.857497
"Abdalla-Santos, Suâmi",1,0,2025-12-30T17:19:32.857497
"Abdelaziz, Jamila de Souza",1,0,2025-12-30T17:19:32.857497
"Abdelkarem, Keila Núbia Barbosa Ibrahim",1,0,2025-12-30T17:19:32.857497
"Abdelmur, Samuel Barbosa Mezavila",1,0,2025-12-30T17:19:32.857497
"Abdo, Rodrigo Figueiredo",1,0,2025-12-30T17:19:32.857497
"Abe, Augusto Shinya",1,0,2025-12-30T17:19:32.857497
"Abe, Érica dos Santos",1,0,2025-12-30T17:19:32.857497
"Abe, Marcos Massaki",1,0,2025-12-30T17:19:32.857497
"Abegg, Ilse",1,0,2025-12-30T17:19:32.857497
"Abel, Luis Sozinho",1,0,2025-12-30T17:19:32.857497
"Abelha, Judith",1,0,2025-12-30T17:19:32.857497
"Abers, Rebecca Neaera",9,0,2025-12-30T17:19:32.857497
"Aberson, Christopher L.",1,0,2025-12-30T17:19:32.857497
"Abib, Fernando César",1,0,2025-12-30T17:19:32.857497
"Abicalil, Victor Guinancio e",1,0,2025-12-30T17:19:32.857497
"Abigalil, Albamaria Paulino de Campos",2,0,2025-12-30T17:19:32.857497
"Abila, Neleide (org.)",1,0,2025-12-30T17:19:32.857497
"Abinader, Bernardo Ale",1,0,2025-12-30T17:19:32.857497
"Abirached, Carlos Felipe de Andrade",1,0,2025-12-30T17:19:32.857497
"Aboud Neta, Sumaia Resegue",1,0,2025-12-30T17:19:32.857497
"Abrahão Filho, Eduardo Antonio",1,0,2025-12-30T17:19:32.857497
"Abrahão, Amanda Amaral",1,0,2025-12-30T17:19:32.857497
"Abrahão, André Luiz Andrade",1,0,2025-12-30T17:19:32.857497
"Abrahão, Júlia Issy",11,50,2025-12-30T17:19:37.255945
"Abrahim, M. A.",1,50,2025-12-30T17:19:37.255945
"Abram, Ulrich",1,50,2025-12-30T17:19:37.255945
"Abramovay, Pedro Vieira",1,50,2025-12-30T17:19:37.255945
"Abranches, Marcelo Cerqueira de",1,50,2025-12-30T17:19:37.255945
"Abrantes, Dayane Martins",1,50,2025-12-30T17:19:37.255945
"Abrantes, Lívia Carvalho Sette",1,50,2025-12-30T17:19:37.255945
"Abrantes, Luiz Paulo Rosa",1,50,2025-12-30T17:19:37.255945
"Abrantes, Patricia Paulino Muniz de",1,50,2025-12-30T17:19:37.255945
"Abrantes, Paulo Cesar Coelho",41,50,2025-12-30T17:19:37.255945
"Abrantes, Paulo Cesar Coelho (org.)",1,50,2025-12-30T17:19:37.255945
"Abrantes, Paulo Cesar Coelho (trad.)",1,50,2025-12-30T17:19:37.255945
"Abrão Filho, Aziz",1,50,2025-12-30T17:19:37.255945
"Abrão, Aline Lauria Pires",2,50,2025-12-30T17:19:37.255945
"Abrão, Ana Cristina Freitas de Vilhena",1,50,2025-12-30T17:19:37.255945
"Abrão, Camila Lima",1,50,2025-12-30T17:19:37.255945
"Abrão, Cristina Siquieroli",1,50,2025-12-30T17:19:37.255945
"Abrão, Fernando Y.",1,50,2025-12-30T17:19:37.255945
