Palavra_Chave,Frequencia,Offset,Timestamp_Coleta
(Eco)constitucionalismo,1,0,2025-12-30T15:49:26.528614
(Multi)letramento,1,0,2025-12-30T15:49:26.528614
(Re)existência Magüta,1,0,2025-12-30T15:49:26.528614
(Re)tradução,1,0,2025-12-30T15:49:26.528614
"1,4-dihidropiridinas (DHPs)",1,0,2025-12-30T15:49:26.528614
17α-ethinilestradiol,1,0,2025-12-30T15:49:26.528614
1970,1,0,2025-12-30T15:49:26.528614
2'-fucosil-lactose,1,0,2025-12-30T15:49:26.528614
"2,4-D",1,0,2025-12-30T15:49:26.528614
2S albumins,1,0,2025-12-30T15:49:26.528614
4T1,1,0,2025-12-30T15:49:26.528614
5-fluorouracil,1,0,2025-12-30T15:49:26.528614
5-hidroximetilfurfural,1,0,2025-12-30T15:49:26.528614
5G,10,0,2025-12-30T15:49:26.528614
5HTTLPR,1,0,2025-12-30T15:49:26.528614
6-diacetilresorcinol,1,0,2025-12-30T15:49:26.528614
6-OHDA,1,0,2025-12-30T15:49:26.528614
8 de janeiro de 2023,1,0,2025-12-30T15:49:26.528614
8ª Bienal Internacional de Arte de São Paulo,1,0,2025-12-30T15:49:26.528614
A Casa dos Espíritos,1,0,2025-12-30T15:49:26.528614
A insustentável leveza do ser,1,0,2025-12-30T15:49:26.528614
A Rainha dos Cárceres da Grécia,1,0,2025-12-30T15:49:26.528614
A1AT,1,0,2025-12-30T15:49:26.528614
AAC (Codificação de aúdio avançada),1,0,2025-12-30T15:49:26.528614
AAJN,1,0,2025-12-30T15:49:26.528614
Ab initio,1,0,2025-12-30T15:49:26.528614
Abacate,5,0,2025-12-30T15:49:26.528614
Abacate - cultivo,1,0,2025-12-30T15:49:26.528614
Abacaxi - regeneração (Biologia),1,0,2025-12-30T15:49:26.528614
Abacaxi - reprodução,3,0,2025-12-30T15:49:26.528614
Abadiânia (GO),1,0,2025-12-30T15:49:26.528614
Abandono,2,0,2025-12-30T15:49:26.528614
Abandono animal,1,0,2025-12-30T15:49:26.528614
Abandono contratual,1,0,2025-12-30T15:49:26.528614
Abandono parental,1,0,2025-12-30T15:49:26.528614
ABAQUS,1,0,2025-12-30T15:49:26.528614
ABAQUS/CAE.,1,0,2025-12-30T15:49:26.528614
Abastecimento de água,30,0,2025-12-30T15:49:26.528614
Abastecimento de água - avaliação,5,0,2025-12-30T15:49:26.528614
Abastecimento de água - Brasil,2,0,2025-12-30T15:49:26.528614
Abastecimento de alimentos,6,0,2025-12-30T15:49:26.528614
Abastecimento de alimentos - Brasil,3,0,2025-12-30T15:49:26.528614
Abatedouros,3,0,2025-12-30T15:49:26.528614
Abdômen,3,0,2025-12-30T15:49:26.528614
Abdômen - cirurgia,1,0,2025-12-30T15:49:26.528614
"Abel, Niels Henrik, 1802-1829",1,0,2025-12-30T15:49:26.528614
"Abelardo, Pedro, 1079-1142- crítica e interpretação",1,0,2025-12-30T15:49:26.528614
Abelha,19,0,2025-12-30T15:49:26.528614
Abelha - aprendizagem,2,0,2025-12-30T15:49:26.528614
Abelha - distribuição das espécies,1,0,2025-12-30T15:49:26.528614
Abelha - espermatozóides,1,50,2025-12-30T15:49:30.619694
Abelha - produtos,1,50,2025-12-30T15:49:30.619694
Abelhas - morfologia,1,50,2025-12-30T15:49:30.619694
Abelhas carpinteiras,1,50,2025-12-30T15:49:30.619694
Abelhas pilhadoras,1,50,2025-12-30T15:49:30.619694
Abelhas solitárias,1,50,2025-12-30T15:49:30.619694
ABEn,1,50,2025-12-30T15:49:30.619694
Abertura comercial,1,50,2025-12-30T15:49:30.619694
Abertura da copa,1,50,2025-12-30T15:49:30.619694
Abertura de capital,2,50,2025-12-30T15:49:30.619694
Abertura de créditos adicionais,1,50,2025-12-30T15:49:30.619694
Abertura de dossel,2,50,2025-12-30T15:49:30.619694
Aberturas adjacentes,1,50,2025-12-30T15:49:30.619694
Abjeção,3,50,2025-12-30T15:49:30.619694
Ablação cardíaca,2,50,2025-12-30T15:49:30.619694
Ablação por cateter,4,50,2025-12-30T15:49:30.619694
Ablação por radiofrequência,17,50,2025-12-30T15:49:30.619694
Abóbora,4,50,2025-12-30T15:49:30.619694
Abóbora - cultivo,1,50,2025-12-30T15:49:30.619694
Abóbora híbrida,1,50,2025-12-30T15:49:30.619694
Abobrinha-da-mata - vírus,1,50,2025-12-30T15:49:30.619694
Abolicionismo,3,50,2025-12-30T15:49:30.619694
Abolicionistas,3,50,2025-12-30T15:49:30.619694
Abomaso,4,50,2025-12-30T15:49:30.619694
Abomasopatias,1,50,2025-12-30T15:49:30.619694
Abordagem,1,50,2025-12-30T15:49:30.619694
Abordagem bayesiana,3,50,2025-12-30T15:49:30.619694
Abordagem cartográfica,1,50,2025-12-30T15:49:30.619694
Abordagem centrada na pessoa,1,50,2025-12-30T15:49:30.619694
Abordagem comunicativa,4,50,2025-12-30T15:49:30.619694
Abordagem comunicativa intercultural,1,50,2025-12-30T15:49:30.619694
Abordagem da capacidade,1,50,2025-12-30T15:49:30.619694
Abordagem das configurações,1,50,2025-12-30T15:49:30.619694
Abordagem Epistemológica da Ciência da Informação,1,50,2025-12-30T15:49:30.619694
Abordagem interdisciplinar do conhecimento,14,50,2025-12-30T15:49:30.619694
Abordagem interdisciplinar do conhecimento na educação,4,50,2025-12-30T15:49:30.619694
Abordagem investigativa,2,50,2025-12-30T15:49:30.619694
Abordagem mediante tarefas,2,50,2025-12-30T15:49:30.619694
Abordagem metodológica,1,50,2025-12-30T15:49:30.619694
Abordagem modular,1,50,2025-12-30T15:49:30.619694
Abordagem multimétodo,1,50,2025-12-30T15:49:30.619694
Abordagem multimodal,1,50,2025-12-30T15:49:30.619694
Abordagem Nexus Água-Energia-Alimento,1,50,2025-12-30T15:49:30.619694
Abordagem P3Tech,1,50,2025-12-30T15:49:30.619694
Abordagem semântica,1,50,2025-12-30T15:49:30.619694
Abordagem sintática,1,50,2025-12-30T15:49:30.619694
Abordagem sociocultural,2,50,2025-12-30T15:49:30.619694
Abordagem territorial,2,50,2025-12-30T15:49:30.619694
Abordagem triangular,2,50,2025-12-30T15:49:30.619694
Aborto,46,50,2025-12-30T15:49:30.619694
Aborto - aspectos morais e éticos,10,100,2025-12-30T15:49:34.718093
Aborto - Brasil,2,100,2025-12-30T15:49:34.718093
Aborto - legislação,6,100,2025-12-30T15:49:34.718093
Aborto - pesquisa - Brasil,3,100,2025-12-30T15:49:34.718093
Aborto clandestino,3,100,2025-12-30T15:49:34.718093
Aborto induzido,3,100,2025-12-30T15:49:34.718093
Aborto legal,7,100,2025-12-30T15:49:34.718093
Aborto voluntário,1,100,2025-12-30T15:49:34.718093
Abrasão dentária,1,100,2025-12-30T15:49:34.718093
Abrasão química,1,100,2025-12-30T15:49:34.718093
"Abreu, Caio Fernando, 1948-1996",2,100,2025-12-30T15:49:34.718093
"Abreu, Tifanny Pereira de, 1984-",1,100,2025-12-30T15:49:34.718093
Abreugrafia do esôfago,1,100,2025-12-30T15:49:34.718093
Abrigos,1,100,2025-12-30T15:49:34.718093
Abrigos meteorológicos,1,100,2025-12-30T15:49:34.718093
Abrolhos,1,100,2025-12-30T15:49:34.718093
Abrolhos Bank,1,100,2025-12-30T15:49:34.718093
Abscesso,3,100,2025-12-30T15:49:34.718093
Abscesso - tratamento,1,100,2025-12-30T15:49:34.718093
Abscesso esplênico,2,100,2025-12-30T15:49:34.718093
Abscesso sintomático,1,100,2025-12-30T15:49:34.718093
Abscisão de fruto,1,100,2025-12-30T15:49:34.718093
Absenteísmo,14,100,2025-12-30T15:49:34.718093
Absorção,2,100,2025-12-30T15:49:34.718093
Absorção de conhecimento,1,100,2025-12-30T15:49:34.718093
Absorção de nutrientes,1,100,2025-12-30T15:49:34.718093
Absorciometria por dupla emissão de raios-x,1,100,2025-12-30T15:49:34.718093
Absorvedor acústico,1,100,2025-12-30T15:49:34.718093
Absorvedor dinâmico de vibrações,2,100,2025-12-30T15:49:34.718093
Absorvedores de energia híbrida,1,100,2025-12-30T15:49:34.718093
Absorvedores de energia preenchidos,1,100,2025-12-30T15:49:34.718093
Absorvedores dinâmicos,1,100,2025-12-30T15:49:34.718093
Absorvedores líquidos sintonizados,3,100,2025-12-30T15:49:34.718093
Absorvente higiênico,1,100,2025-12-30T15:49:34.718093
Abundância,3,100,2025-12-30T15:49:34.718093
Abundância de indivíduos,1,100,2025-12-30T15:49:34.718093
Abundância relativa,1,100,2025-12-30T15:49:34.718093
Abuso constitucional,1,100,2025-12-30T15:49:34.718093
Abuso de poder,1,100,2025-12-30T15:49:34.718093
Abuso parental,1,100,2025-12-30T15:49:34.718093
Abuso sexual,10,100,2025-12-30T15:49:34.718093
Abuso sexual - família,3,100,2025-12-30T15:49:34.718093
Abuso sexual - meninos,2,100,2025-12-30T15:49:34.718093
Abuso sexual infantil,12,100,2025-12-30T15:49:34.718093
Acabamentos em madeira,3,100,2025-12-30T15:49:34.718093
Acabamentos suaves e texturizados,1,100,2025-12-30T15:49:34.718093
Academias de ginástica,7,100,2025-12-30T15:49:34.718093
Açaí,8,100,2025-12-30T15:49:34.718093
Açaí - comércio,1,100,2025-12-30T15:49:34.718093
Açaizeiro,2,100,2025-12-30T15:49:34.718093
Açaizeiro - embriogênese somática,1,150,2025-12-30T15:49:38.914830
Acalasia esofágica,3,150,2025-12-30T15:49:38.914830
Acanthamoeba,1,150,2025-12-30T15:49:38.914830
Acanthoceras magdeburgense,1,150,2025-12-30T15:49:38.914830
Acanthoscurria paulensis,1,150,2025-12-30T15:49:38.914830
Ação - ferramenta - testes,1,150,2025-12-30T15:49:38.914830
Ação antrópica,1,150,2025-12-30T15:49:38.914830
Ação civil pública,1,150,2025-12-30T15:49:38.914830
Ação civil pública - Brasil,1,150,2025-12-30T15:49:38.914830
Ação coletiva,21,150,2025-12-30T15:49:38.914830
Ação coletiva (Processo civil),4,150,2025-12-30T15:49:38.914830
Ação coletiva - mercado,1,150,2025-12-30T15:49:38.914830
Ação cômica,1,150,2025-12-30T15:49:38.914830
Ação consorciada,1,150,2025-12-30T15:49:38.914830
