dc.title[pt_BR],dc.identifier.uri,dc.date.issued[pt]
Análise de programas de transferência de renda no Brasil sob a ótica e prática de atores federais e estaduais,http://repositorio.unb.br/handle/10482/12039,2007
Justiçamento em rede : direitos humanos e efeito midiático,https://repositorio.unb.br/handle/10482/36647,2019
A participação dos entes federados no financiamento ao esporte e lazer no Brasil,https://repositorio.unb.br/handle/10482/41043,2021
Risk for acute kidney injury in primary health care,http://repositorio.unb.br/handle/10482/33297,2018
Internações por condições sensíveis à atenção primária (ICSAP) no Distrito Federal : comparação com outras capitais brasileiras no período de 2009 a 2018,https://repositorio.unb.br/handle/10482/36428,2019
Pesquisa-apoio : pesquisa participante e o método Paideia de apoio institucional,http://repositorio.unb.br/handle/10482/29341,2014
"Dinâmica da comunidade arbórea em um fragmento de floresta estacional semidecidual montana em Lavras, Minas Gerais, em diferentes classes de solos||Tree community dynamics in a montane semi-deciduous tropical forest fragment in Lavras, Minas Gerais, on different soil classes",http://repositorio.unb.br/handle/10482/27203,2008
Aspectos do cuidado integral para pessoas em situação de rua acompanhadas por serviço de saúde e de assistência social: um olhar para e pela terapia ocupacional,https://repositorio.unb.br/handle/10482/36707,2019
Avanços no estudo da conjugalidade: os casais de dupla carreira,http://repositorio.unb.br/handle/10482/25803,2001
Políticas de saúde e crise do estado de bem-estar : repercussões e possibilidades para o Sistema Único de Saúde,http://repositorio.unb.br/handle/10482/8121,2006-05
Mathematical and experimental evaluation of an incremental differential protection function embedded in a real transmission line relay,https://repositorio.unb.br/handle/10482/41020,2021
Fatores de risco na adolescência : discutindo dados do DF,http://repositorio.unb.br/handle/10482/6122,2006
Relação entre a violência e a saúde mental das mulheres no Brasil : análise das políticas públicas,http://repositorio.unb.br/handle/10482/35358,2018-04
Social representations of the health care of the Mbyá-Guarani indigenous population by health workers,http://repositorio.unb.br/handle/10482/30720,2017
Cardiomiopatia hipertrófica em gato doméstico (Felis catus) associada a infarto miocárdico agudo,http://repositorio.unb.br/handle/10482/7446,2009
O hip hop como possibilidade de inclusão e de enfrentamento da discriminação e da segregação na periferia de São Paulo,http://repositorio.unb.br/handle/10482/7376,2004-01
A governança ambiental nos planos de governo dos presidenciáveis nas eleições de 2014,http://repositorio.unb.br/handle/10482/30680,2017-08
"Causes of condemnation of carcasses from poultry in slaughterhouses located in State of Goiás, Brazil",http://repositorio.unb.br/handle/10482/7851,2008-12
"Coeficientes médios da equação de Angström-Prescott, radiação solar e evapotranspiração de referência em Brasília",http://repositorio.unb.br/handle/10482/8105,2006-08
Entre o dever da toga e o apoio à farda : independência judicial e imparcialidade no STF durante o regime militar,http://repositorio.unb.br/handle/10482/30653,2017
Estilos de etnologia indígena na Austrália e no Canadá vistos do Brasil,http://repositorio.unb.br/handle/10482/23276,2002
Bivariate log-symmetric regression models applied to newborn data,http://repositorio.unb.br/handle/10482/53326,2024-10-05
Políticas de precificação do setor de saneamento urbano no Brasil: as evidências do equilíbrio de baixo nível,http://repositorio.unb.br/handle/10482/26377,2005
Voz passiva em libras?,https://repositorio.unb.br/handle/10482/43505,
O tempo do luto e o discurso do outro,http://repositorio.unb.br/handle/10482/30819,2017-05
Regulation of herbal medicines in Brazil : advances and perspectives,http://repositorio.unb.br/handle/10482/13071,2011-09
Genética de populações de anofelinos IV. Estudos eletroforéticos das populações naturais de Anopheles nuneztovari e Unopheles darlingi. Correlação genética entre espécies,http://repositorio.unb.br/handle/10482/24988,1979-09
Arranjos familiares e implicações à saúde na visão dos profissionais do Programa Saúde da Família,http://repositorio.unb.br/handle/10482/27423,2009-02
